,0
0,3.39136127894303
1,3.084053586109101
2,2.8982016580608154
3,2.883820400881198
4,2.7838900858141127
5,2.661339379246647
6,2.6011074229071984
7,2.5271159463931614
8,2.4819912346926953
9,2.410093743982011
10,2.412584500853505
11,2.393992062915317
12,2.2502193536020445
13,2.1135851437446154
14,2.1286633000933928
15,2.0672724530825066
16,2.061952339996659
17,2.016641478634611
18,1.9867387800518013
19,1.9012455652102618
20,1.897184773987484
21,1.83014732392972
22,1.8028099638609434
23,1.7458310337860898
24,1.7536109490630885
25,1.7421869392914768
26,1.6751938754005344
27,1.6853295544473654
28,1.594995508092288
29,1.5409839573957622
30,1.5643067678776406
31,1.5213657743209625
32,1.4892569036044592
33,1.5029548708622058
34,1.5087631444842518
35,1.4349411874241658
36,1.4054546565968953
37,1.3827513355952894
38,1.387040131014609
39,1.3575738173941958
40,1.3058672153694837
41,1.3776464193669642
42,1.297995897808873
43,1.2517020607386484
44,1.3178475523689732
45,1.296959714548557
46,1.2400011164577438
47,1.2275027697228837
48,1.2505097307496527
