,0
0,3.308690611025267
1,3.1052294959609448
2,2.88628022271281
3,2.914911482325433
4,2.8303297844761897
5,2.742761256707091
6,2.6039380167185318
7,2.596710909650249
8,2.5431924022927155
9,2.45648787690666
10,2.39945725368375
11,2.3264041813019727
12,2.2534151611286495
13,2.2625518656060812
14,2.1573493018422325
15,2.1000535814646684
16,2.1060972608428616
17,2.0761243344067584
18,2.016029465830658
19,1.998977077345999
20,1.9159573371677905
21,1.881294450525822
22,1.7910261550720976
23,1.7767023690251142
24,1.7421280411740607
25,1.7546989204883099
26,1.7329563735293376
27,1.6766294290208008
28,1.6101966814176663
29,1.5815682999191552
30,1.5902658021939358
31,1.5495368796924511
32,1.5414044639184308
33,1.4107403786450388
34,1.4722823708706303
35,1.464476878825244
36,1.3946717845724335
37,1.4481315767578427
38,1.333868579940863
39,1.3049037797872334
40,1.3410671656263689
41,1.2648321522643229
42,1.2607422834495872
43,1.2594534213859898
44,1.3145483332601258
45,1.2853751598415804
46,1.243437663197867
47,1.1837634329534505
48,1.1876280809414466
